k,weight,metric,accuracy,precision,recall,f1,specificity
1,uniform,euclidean,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
1,uniform,manhattan,0.9279761904761903,0.9274933384376108,0.9605555555555556,0.9434187427199365,0.8729437229437229
1,uniform,minkowski,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
1,uniform,chebyshev,0.9139097744360903,0.9233988455505484,0.9411111111111111,0.9317765451568268,0.8683982683982684
1,uniform,cosine,0.9051065162907269,0.9186825953544219,0.9330158730158731,0.9250157484927846,0.8584415584415584
1,uniform,canberra,0.9543233082706767,0.9674262655512657,0.9607936507936508,0.9633689602882074,0.9432900432900432
1,uniform,braycurtis,0.926221804511278,0.9272799671716079,0.9577777777777777,0.9419748330568487,0.8729437229437229
1,uniform,correlation,0.9033521303258146,0.9183452134380927,0.9302380952380952,0.923538271015307,0.8584415584415584
1,distance,euclidean,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
1,distance,manhattan,0.9279761904761903,0.9274933384376108,0.9605555555555556,0.9434187427199365,0.8729437229437229
1,distance,minkowski,0.9156954887218045,0.9188857349848062,0.9495238095238095,0.9336458021649996,0.8588744588744589
1,distance,chebyshev,0.9139097744360903,0.9233988455505484,0.9411111111111111,0.9317765451568268,0.8683982683982684
1,distance,cosine,0.9051065162907269,0.9186825953544219,0.9330158730158731,0.9250157484927846,0.8584415584415584
1,distance,canberra,0.9543233082706767,0.9674262655512657,0.9607936507936508,0.9633689602882074,0.9432900432900432
1,distance,braycurtis,0.926221804511278,0.9272799671716079,0.9577777777777777,0.9419748330568487,0.8729437229437229
1,distance,correlation,0.9033521303258146,0.9183452134380927,0.9302380952380952,0.923538271015307,0.8584415584415584
2,uniform,euclidean,0.9121553884711779,0.9535116309475893,0.9047619047619048,0.9279363093944137,0.9244588744588744
2,uniform,manhattan,0.9208646616541353,0.9512609874469458,0.9213492063492064,0.9356423172141783,0.9201298701298702
2,uniform,minkowski,0.9121553884711779,0.9535116309475893,0.9047619047619048,0.9279363093944137,0.9244588744588744
